componet_no,group_id,length,width,material_no,material_width,materail_length
225A8110-020-505,0,834,223,110000000631,1320,4000
225A8110-020-506,0,834,223,110000000631,1320,4000
225A8110-030-505,1,572,254,110000000631,1320,4000
225A8110-030-506,1,572,254,110000000631,1320,4000
225A8110-040-505,2,664,164,110000000631,1320,4000
225A8110-040-506,2,664,164,110000000631,1320,4000
225A8110-050-505,3,184,184,110000000631,1320,4000
225A8110-050-506,3,184,184,110000000631,1320,4000
225A8110-060-505,4,514,254,110000000631,1320,4000
225A8110-060-506,4,514,254,110000000631,1320,4000
225A8110-070-505,5,504,224,110000000631,1320,4000
225A8110-070-506,5,504,224,110000000631,1320,4000
225A8110-110-505,6,584,344,110000000631,1320,4000
225A8110-110-506,6,584,344,110000000631,1320,4000
225A8120-010-011,7,665,490,110000000631,1320,4000
225A8120-010-013,7,766,591,110000000631,1320,4000
225A8120-010-012,7,665,490,110000000631,1320,4000
225A8120-010-014,7,766,591,110000000631,1320,4000
225A8120-020-011,8,603,490,110000000631,1320,4000
225A8120-020-013,8,704,591,110000000631,1320,4000
225A8120-020-012,8,603,490,110000000631,1320,4000
225A8120-020-014,8,704,591,110000000631,1320,4000
225A8120-030-011,9,636,495,110000000631,1320,4000
225A8120-030-013,9,737,596,110000000631,1320,4000
225A8120-030-012,9,636,495,110000000631,1320,4000
225A8120-030-014,9,737,596,110000000631,1320,4000
225A8120-040-011,10,795,585,110000000631,1320,4000
225A8120-040-013,10,896,686,110000000631,1320,4000
225A8120-040-012,10,795,585,110000000631,1320,4000
225A8120-040-014,10,896,686,110000000631,1320,4000
225A8120-050-011,11,735,698,110000000631,1320,4000
225A8120-050-013,11,836,799,110000000631,1320,4000
225A8120-050-012,11,735,698,110000000631,1320,4000
225A8120-050-014,11,836,799,110000000631,1320,4000
225A8120-060-011,12,855,645,110000000631,1320,4000
225A8120-060-013,12,956,746,110000000631,1320,4000
225A8120-060-012,12,855,645,110000000631,1320,4000
225A8120-060-014,12,956,746,110000000631,1320,4000
225A8120-070-011,13,650,457,110000000631,1320,4000
225A8120-070-013,13,751,558,110000000631,1320,4000
225A8120-070-012,13,650,457,110000000631,1320,4000
225A8120-070-014,13,751,558,110000000631,1320,4000
225A8120-080-011,14,650,520,110000000631,1320,4000
225A8120-080-013,14,751,621,110000000631,1320,4000
225A8120-080-012,14,650,520,110000000631,1320,4000
225A8120-080-014,14,751,621,110000000631,1320,4000
225A8120-090-011,15,1474,424,110000000631,1320,4000
225A8120-110-011-0,16,459,424,110000000631,1320,4000
