AO_NUMBER,deal_time,NEXT_AOS,type,worker,no,constraints,position_con,con
150A101ZF3201,2.0,2,机械,4,0,"0,4,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4","0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4"
150A101ZF3202,2.0,0,机械,12,1,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
150A101ZF3203,1.0,"11,4,3,13,8,9,29,22,87,47,76,77,79,80,82,83,124,125,200,201,186,187,188,189,190,191,234,230,231,237,240,219,203,265,287,288,262,263,266,290,298,299,300,304,305,312,313,308,309,301,302,303,310",机械,12,2,"0,12,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12","0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12"
150A102AA0010,5.0,5,特设,2,3,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AA0050,5.0,14,机械,2,4,"0,2,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AE0020,3.0,12,特设,3,5,"0,0,3","3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AE0050,4.0,314,特设,2,6,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AE0060,4.0,314,特设,2,7,"0,0,2","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AL0010,2.0,6,结构,2,8,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AL0020,2.0,6,结构,2,9,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150A102AL0030,4.0,17,结构,2,10,"2,0,0","2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
